Opportunity ID,Business Account,Status,Stage,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé
1926,C00508,Won,Won,2000.0,2000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1925,C00946,Won,Won,8377.93,8377.93,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1924,C00092,Won,Won,5760.0,5760.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1922,C00182,Won,Won,4000.0,4000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1921,C00045,Won,Won,1737.0,1737.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1920,C00045,Won,Won,259.0,259.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1919,C00130,Won,Won,57000.0,57000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1918,C02048,Won,Won,3264.8,3264.8,0.0,CAMP EVT,Campus - Event,
1917,C01237,Won,Won,4286.0,4307.6,21.6,CAMP EVT,Campus - Event,
1911,C01341,Won,Won,5694.0,0.0,-5694.0,CAMP EVT,Campus - Event,
1908,C01323,Won,Won,1458.0,1458.0,0.0,CAMP SAL,Campus - Room,
1907,C00850,Won,Won,5000.0,5000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1906,C00818,Won,Won,435.0,435.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1905,C01605,Open,Won,40000.0,35000.0,-5000.0,PPRIV MEC,Private partnership - Patronage,Entrepreneurs dans la Ville
1904,C00106,Won,Won,3524.53,3524.53,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1903,C00842,Won,Won,2500.0,2500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1902,C00045,Won,Won,600.0,600.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1901,C01892,Won,Won,650.0,660.0,10.0,CAMP TER,Campus - Field,
1900,C00472,New,Won,10000.0,0.0,-10000.0,PPRIV DONN,Private partnership - Donation in kind,Non fléché
1898,C01211,Won,Won,544.44,544.44,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1896,C00630,Won,Won,2000.0,2000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1895,C01424,Won,Won,219.06,219.06,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1894,C01498,Won,Won,8.0,8.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1893,C01049,Won,Won,2620.0,2620.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1892,C00644,Won,Won,1055.7,1055.7,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1891,C00102,Won,Won,2770.0,2770.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1890,C00292,Won,Won,5000.0,5000.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché
1889,C01326,Won,Won,38000.0,38000.0,0.0,PPUB,Public partnership,Sport
1888,C01880,Won,Won,5495.0,5495.0,0.0,PPRIV MEC,Private partnership - Patronage,Séjours et Camps
1887,C01545,Won,Won,1777.0,1777.0,0.0,PPUB,Public partnership,Non fléché
1886,C00078,Won,Won,17300.0,17300.0,0.0,PPRIV MEC,Private partnership - Patronage,Sport
1883,C01602,Won,Won,1983.0,1983.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1882,C01784,Won,Won,284000.0,284000.0,0.0,PPUB,Public partnership,Job dans la Ville
1881,C01784,Won,Won,84000.0,84000.0,0.0,PPUB,Public partnership,Entrepreneurs dans la Ville
1880,C00906,Won,Won,1500.0,1500.0,0.0,PPRIV EVNT,Private partnership - Event,
1879,C00206,Won,Won,1377.32,1377.32,0.0,PPRIV MEC,Private partnership - Patronage,"Non fléché, Sport"
1878,C01506,Open,Won,15000.0,35000.0,20000.0,PPRIV MEC,Private partnership - Patronage,Séjours et Camps
1877,C01388,New,Won,650213.0,390128.04,-260084.96,PPUB,Public partnership,Job dans la Ville
1875,C00117,Won,Won,30000.0,30000.0,0.0,PPRIV MEC,Private partnership - Patronage,"Job dans la Ville, L dans la Ville"
1874,C03587,Won,Won,15000.0,15000.0,0.0,PPRIV MEC,Private partnership - Patronage,Entrepreneurs dans la Ville
1872,C01783,Won,Won,592.0,592.0,0.0,CAMP SAL,Campus - Room,
1871,C01502,Won,Won,1400000.0,1400000.0,0.0,PPUB,Public partnership,Séjours et Camps
1870,C00510,New,Won,45454.55,0.0,-45454.55,PPRIV DONN,Private partnership - Donation in kind,Sport
1869,C04462,Won,Won,5000.0,5000.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché
1864,C01605,Won,Won,40000.0,40000.0,0.0,PPRIV MEC,Private partnership - Patronage,Entrepreneurs dans la Ville
1863,C01388,Open,Won,884593.0,884593.0,0.0,PPUB,Public partnership,Job dans la Ville
1862,C01325,Won,Won,750000.0,750000.0,0.0,PPUB,Public partnership,Sport
